Mod_mass,Site,Score,z-score,Confidence,Constitution
28.0313,n-term; K,7558.732907,3.1103134152258463,moderate,"('n-term', 0.622), ('K', 0.378)"
34.063117,F; K,6113.3407,2.9089910161913632,moderate,"('F', 0.356), ('K', 0.644)"
14.01565,K,1239.245261,1.3950467319393094,unsure,"('K', 1.0)"
34.068961,F,1089.949361,1.2732732104384756,unsure,"('F', 1.0)"
17.03448,K,411.741585,0.3498161767396199,unsure,"('K', 1.0)"
244.101452,n-term,353.289605,0.20457750944114625,unsure,"('n-term', 1.0)"
154.074228,E,295.146695,0.03400369134278806,unsure,"('E', 1.0)"
144.099599,A,279.075519,-0.019108722091419405,unsure,"('A', 1.0)"
48.084611,D,268.579604,-0.05547352727782948,unsure,"('D', 1.0)"
36.011233,T,268.579604,-0.05547352727782948,unsure,"('T', 1.0)"
127.099714,I,256.168048,-0.10035547208396227,unsure,"('I', 1.0)"
58.041865,S,254.289356,-0.10733800470251112,unsure,"('S', 1.0)"
-18.023584,T,243.122188,-0.14993854474705715,unsure,"('T', 1.0)"
154.110613,I,236.697216,-0.1753444295678399,unsure,"('I', 1.0)"
72.021129,R,236.697216,-0.1753444295678399,unsure,"('R', 1.0)"
6.013809,E,229.466664,-0.2047739103018728,unsure,"('E', 1.0)"
138.06808,A,223.048583,-0.23168405507904288,unsure,"('A', 1.0)"
-8.016319,H,204.988819,-0.31177864637471614,unsure,"('H', 1.0)"
8.016319,E,195.38502,-0.35729585481128756,unsure,"('E', 1.0)"
17.026549,D,193.293005,-0.36750745809913,unsure,"('D', 1.0)"
-10.031969,H,193.293005,-0.36750745809913,unsure,"('H', 1.0)"
226.077598,R,192.593308,-0.370947518330774,unsure,"('R', 1.0)"
87.050655,T,192.593308,-0.370947518330774,unsure,"('T', 1.0)"
27.058518,E,187.708796,-0.39531615702874806,unsure,"('E', 1.0)"
79.966331,E,181.030212,-0.4296820583901904,unsure,"('E', 1.0)"
164.060231,R,175.103513,-0.4612578901884651,unsure,"('R', 1.0)"
45.029395,A,129.639741,-0.7464252440622346,unsure,"('A', 1.0)"
0.997035,E,122.943912,-0.7967307836389598,unsure,"('E', 1.0)"
128.058578,E,113.952195,-0.8687765276379258,unsure,"('E', 1.0)"
45.987721,K,29.304583,-2.1570140136290115,unsure,"('K', 1.0)"
